MsgID.LOCAL_VELOCITY,16.0080000,-0.0000058,0.0000012,0.0000059
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924799,0.2170000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.2580000,-0.0527164,0.1797237,-0.2186910
MsgID.LOCAL_VELOCITY,16.2580000,0.0000210,-0.0000054,0.0000110
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924810,0.2320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.5080000,0.0698976,0.3360354,-0.2320994
MsgID.LOCAL_VELOCITY,16.5080000,0.0000018,-0.0000018,0.0000117
MsgID.GLOBAL_POSITION,0.0000000,-122.3974507,37.7924808,0.2350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,16.7590000,0.0367698,0.2246286,-0.2356610
MsgID.LOCAL_VELOCITY,16.7590000,-0.0000036,-0.0000083,0.0000127
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974501,37.7924808,0.2290000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.0090000,0.0452172,0.2834476,-0.2293690
MsgID.LOCAL_VELOCITY,17.0090000,-0.0000297,-0.0000398,0.0000199
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924793,0.2150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.2590000,-0.1341683,0.2547254,-0.2149314
MsgID.LOCAL_VELOCITY,17.2590000,-0.0000037,-0.0000068,0.0000060
MsgID.GLOBAL_POSITION,0.0000000,-122.3974523,37.7924789,0.2000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,17.5090000,-0.1720139,0.0826975,-0.2005652
MsgID.LOCAL_VELOCITY,17.5090000,0.0000200,-0.0000047,0.0000097
