time, Quad.Est.E.Pos, Quad.Est.S.Z
3.194951,0.010036,1.061130
3.199950,0.009750,1.062411
3.204950,0.009507,1.064334
3.209950,0.010209,1.065616
3.214949,0.009999,1.067540
3.219949,0.011273,1.068823
3.224949,0.011114,1.070748
3.229948,0.011495,1.072032
3.234948,0.011356,1.073958
3.239948,0.012196,1.075242
3.244947,0.012092,1.077169
3.249947,0.010921,1.078455
3.254946,0.010785,1.080383
3.259946,0.008890,1.081669
3.264946,0.008710,1.083598
3.269945,0.008948,1.084885
3.274945,0.008786,1.086815
3.279945,0.008235,1.088102
3.284944,0.008074,1.090034
3.289944,0.007744,1.091321
3.294944,0.007590,1.093254
3.299943,0.009053,1.094543
3.304943,0.008936,1.096476
3.309942,0.009593,1.097765
3.314942,0.009499,1.099700
3.319942,0.009279,1.100990
3.324941,0.009185,1.102926
3.329941,0.007739,1.104216
3.334941,0.007623,1.106153
3.339940,0.007677,1.107445
3.344940,0.007570,1.109382
3.349940,0.006794,1.110674
3.354939,0.006692,1.112613
3.359939,0.007350,1.113906
3.364938,0.007261,1.115846
3.369938,0.007248,1.117139
3.374938,0.007166,1.119080
3.379937,0.007824,1.120374
3.384937,0.007759,1.122316
3.389937,0.007103,1.123611
3.394936,0.007032,1.125553
3.399936,0.007089,1.126849
3.404936,0.007026,1.128793
3.409935,0.008675,1.130089
3.414935,0.008655,1.132034
3.419935,0.008792,1.133331
3.424934,0.008777,1.135277
3.429934,0.008881,1.136574
3.434933,0.008871,1.138521
3.439933,0.008267,1.139820
3.444933,0.008240,1.141767
3.449932,0.008385,1.143066
3.454932,0.008363,1.145015
3.459932,0.008591,1.146315
3.464931,0.008578,1.148265
3.469931,0.008842,1.149565
3.474931,0.008840,1.151516
3.479930,0.008823,1.152817
3.484930,0.008821,1.154768
3.489929,0.008634,1.156070
3.494929,0.008625,1.158023
3.499929,0.009109,1.159325
3.504928,0.009119,1.161279
3.509928,0.009767,1.162582
3.514928,0.009802,1.164536
3.519927,0.010069,1.165840
3.524927,0.010114,1.167796
3.529927,0.009450,1.169100
3.534926,0.009462,1.171057
3.539926,0.010520,1.172361
3.544925,0.010579,1.174319
3.549925,0.010598,1.175625
3.554925,0.010654,1.177583
3.559924,0.010617,1.178889
3.564924,0.010667,1.180849
3.569924,0.010812,1.182156
3.574923,0.010865,1.184116
3.579923,0.011620,1.185424
3.584923,0.011706,1.187385
3.589922,0.012384,1.188693
3.594922,0.012500,1.190656
3.599921,0.012251,1.191965
3.604921,0.012346,1.193928
3.609921,0.011760,1.195237
3.614920,0.011818,1.197202
3.619920,0.012828,1.198512
3.624920,0.012935,1.200477
3.629919,0.013862,1.201787
3.634919,0.014012,1.203754
3.639919,0.014905,1.205065
3.644918,0.015094,1.207032
3.649918,0.013885,1.208344
3.654917,0.013995,1.210312
3.659917,0.013156,1.211625
3.664917,0.013213,1.213594
3.669916,0.014823,1.214907
3.674916,0.014964,1.216877
3.679916,0.016451,1.218191
3.684915,0.016667,1.220162
3.689915,0.016520,1.221476
3.694915,0.016714,1.223448
3.699914,0.016687,1.224763
3.704914,0.016868,1.226736
3.709913,0.017642,1.228051
3.714913,0.017855,1.230025
3.719913,0.016787,1.231341
3.724912,0.016927,1.233316
3.729912,0.016925,1.234632
3.734912,0.017055,1.236608
3.739911,0.016738,1.237926
3.744911,0.016842,1.239902
3.749911,0.018010,1.241220
3.754910,0.018171,1.243197
3.759910,0.018634,1.244516
3.764910,0.018810,1.246494
3.769909,0.017783,1.247814
3.774909,0.017892,1.249793
3.779908,0.016449,1.251113
